Fecha,Franja más cara,Franja más barata,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:
14 de 03 de 2021,19h - 20h,15h - 16h,0.08973,0.08778,0.08534,0.08284,0.08285,0.08067,0.08426,0.08357,0.08357,0.08605,0.07586,0.07435,0.07446,0.0695,0.06901,0.06453,0.07179,0.08878,0.10802,0.12394,0.12288,0.11688,0.1152,0.11297
15 de 03 de 2021,20h - 21h,04h - 05h,0.11551,0.10934,0.10578,0.10293,0.10108,0.10989,0.11896,0.12016,0.11871,0.11548,0.11374,0.11301,0.11076,0.108,0.10488,0.10185,0.10608,0.11084,0.11334,0.12223,0.12502,0.12094,0.11691,0.11536
16 de 03 de 2021,20h - 21h,16h - 17h,0.1095,0.10603,0.09348,0.09346,0.09013,0.0914,0.09187,0.10575,0.10697,0.10079,0.09802,0.0966,0.09249,0.09017,0.08803,0.08596,0.08502,0.08616,0.08796,0.10905,0.11332,0.11119,0.10314,0.08998
17 de 03 de 2021,08h - 09h,16h - 17h,0.08328,0.07788,0.07684,0.078,0.07524,0.07702,0.0811,0.08512,0.08889,0.08135,0.07789,0.07248,0.07223,0.06988,0.06667,0.0652,0.06494,0.06864,0.07284,0.07942,0.08567,0.08073,0.07439,0.0736
18 de 03 de 2021,20h - 21h,16h - 17h,0.08388,0.08485,0.08493,0.08485,0.08959,0.08828,0.09364,0.1006,0.10556,0.09739,0.09165,0.09525,0.0973,0.09731,0.09464,0.0885,0.08355,0.08497,0.09213,0.10602,0.11556,0.10803,0.10271,0.09823
19 de 03 de 2021,20h - 21h,16h - 17h,0.094,0.09091,0.09083,0.09108,0.09218,0.09218,0.09011,0.09242,0.09262,0.09024,0.08954,0.08784,0.08662,0.08607,0.08243,0.08213,0.08003,0.08218,0.08747,0.09891,0.10945,0.1094,0.09898,0.09357
20 de 03 de 2021,20h - 21h,12h - 13h,0.08676,0.0836,0.08283,0.08254,0.08253,0.08293,0.08214,0.08169,0.0794,0.07869,0.07583,0.07195,0.0713,0.07523,0.07621,0.07608,0.07516,0.07841,0.08068,0.0915,0.11031,0.10968,0.09932,0.09292
21 de 03 de 2021,20h - 21h,10h - 11h,0.1003,0.09148,0.08922,0.08895,0.08964,0.08937,0.09277,0.08906,0.08587,0.08337,0.08024,0.08061,0.08121,0.08391,0.08163,0.08127,0.081,0.08262,0.10151,0.11906,0.12587,0.12046,0.12271,0.11736
22 de 03 de 2021,20h - 21h,15h - 16h,0.11857,0.11802,0.11724,0.11736,0.11785,0.12179,0.12454,0.12355,0.12276,0.11883,0.11803,0.11807,0.11766,0.11829,0.11579,0.11444,0.11794,0.12128,0.1246,0.14266,0.14304,0.13234,0.12874,0.12481
23 de 03 de 2021,19h - 20h,14h - 15h,0.13138,0.12721,0.12598,0.12635,0.12815,0.13024,0.13597,0.14519,0.14478,0.13493,0.12784,0.12487,0.12394,0.12335,0.12052,0.12075,0.12342,0.12903,0.13647,0.15203,0.14317,0.13976,0.13468,0.13358
24 de 03 de 2021,19h - 20h,15h - 16h,0.13303,0.13309,0.13251,0.13345,0.13346,0.13294,0.13549,0.14425,0.14485,0.13272,0.1259,0.12588,0.124,0.12374,0.12282,0.12079,0.12121,0.12507,0.13184,0.15285,0.14035,0.13329,0.13115,0.1296
25 de 03 de 2021,19h - 20h,16h - 17h,0.13359,0.13418,0.13406,0.13423,0.13431,0.13434,0.14012,0.14521,0.14253,0.13194,0.12675,0.12642,0.12542,0.12534,0.1243,0.12225,0.12079,0.12607,0.13595,0.15481,0.14892,0.13917,0.13666,0.13451
26 de 03 de 2021,19h - 20h,16h - 17h,0.13257,0.13219,0.13272,0.13347,0.13321,0.13274,0.13084,0.13375,0.13167,0.12907,0.12526,0.12277,0.12378,0.12342,0.11804,0.11282,0.11021,0.12306,0.12592,0.13495,0.12964,0.12723,0.12811,0.12217
27 de 03 de 2021,19h - 20h,08h - 09h,0.11029,0.10557,0.10376,0.10303,0.09891,0.10292,0.10253,0.098,0.09224,0.09931,0.09251,0.09416,0.10328,0.09749,0.09789,0.09783,0.09847,0.10738,0.12354,0.13398,0.13238,0.12803,0.12707,0.12254
9 del 4 de 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
29 de 03 de 2021,20h - 21h,15h - 16h,0.10708,0.10408,0.10169,0.10119,0.10111,0.10652,0.12211,0.12607,0.13021,0.12658,0.12414,0.11632,0.11236,0.09832,0.08935,0.07979,0.08375,0.09673,0.10634,0.12093,0.13515,0.13057,0.12714,0.12481
30 de 03 de 2021,08h - 09h,14h - 15h,0.11583,0.11587,0.11428,0.11595,0.11692,0.12461,0.13154,0.13488,0.14589,0.12985,0.12044,0.11203,0.10753,0.10472,0.10181,0.10197,0.10435,0.11356,0.12128,0.12402,0.13441,0.13289,0.12762,0.1259
31 de 03 de 2021,08h - 09h,16h - 17h,0.12658,0.12118,0.12035,0.12048,0.11949,0.12475,0.13147,0.13764,0.14538,0.13058,0.11997,0.11357,0.1111,0.10861,0.10504,0.10614,0.10447,0.11212,0.11896,0.12374,0.1293,0.13208,0.1285,0.12326
